"Kod";"Nazwa";"styczeń;chleb pszenno-żytni - za 0,5kg;cena;2012;[zł]";"styczeń;cytryny - za 1 kg;cena;2012;[zł]";"styczeń;cebula - za 1 kg;cena;2012;[zł]";"styczeń;ziemniaki - za 1 kg;cena;2012;[zł]";"styczeń;papierosy - za 20szt.;cena;2012;[zł]";"styczeń;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2012;[zł]";"styczeń;węgiel kamienny - za 1t;cena;2012;[zł]";"styczeń;wizyta u lekarza specjalisty;cena;2012;[zł]";"styczeń;mydło toaletowe - za 100g;cena;2012;[zł]";"luty;chleb pszenno-żytni - za 0,5kg;cena;2012;[zł]";"luty;cytryny - za 1 kg;cena;2012;[zł]";"luty;cebula - za 1 kg;cena;2012;[zł]";"luty;ziemniaki - za 1 kg;cena;2012;[zł]";"luty;papierosy - za 20szt.;cena;2012;[zł]";"luty;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2012;[zł]";"luty;węgiel kamienny - za 1t;cena;2012;[zł]";"luty;wizyta u lekarza specjalisty;cena;2012;[zł]";"luty;mydło toaletowe - za 100g;cena;2012;[zł]";"marzec;chleb pszenno-żytni - za 0,5kg;cena;2012;[zł]";"marzec;cytryny - za 1 kg;cena;2012;[zł]";"marzec;cebula - za 1 kg;cena;2012;[zł]";"marzec;ziemniaki - za 1 kg;cena;2012;[zł]";"marzec;papierosy - za 20szt.;cena;2012;[zł]";"marzec;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2012;[zł]";"marzec;węgiel kamienny - za 1t;cena;2012;[zł]";"marzec;wizyta u lekarza specjalisty;cena;2012;[zł]";"marzec;mydło toaletowe - za 100g;cena;2012;[zł]";"kwiecień;chleb pszenno-żytni - za 0,5kg;cena;2012;[zł]";"kwiecień;cytryny - za 1 kg;cena;2012;[zł]";"kwiecień;cebula - za 1 kg;cena;2012;[zł]";"kwiecień;ziemniaki - za 1 kg;cena;2012;[zł]";"kwiecień;papierosy - za 20szt.;cena;2012;[zł]";"kwiecień;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2012;[zł]";"kwiecień;węgiel kamienny - za 1t;cena;2012;[zł]";"kwiecień;wizyta u lekarza specjalisty;cena;2012;[zł]";"kwiecień;mydło toaletowe - za 100g;cena;2012;[zł]";"maj;chleb pszenno-żytni - za 0,5kg;cena;2012;[zł]";"maj;cytryny - za 1 kg;cena;2012;[zł]";"maj;cebula - za 1 kg;cena;2012;[zł]";"maj;ziemniaki - za 1 kg;cena;2012;[zł]";"maj;papierosy - za 20szt.;cena;2012;[zł]";"maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2012;[zł]";"maj;węgiel kamienny - za 1t;cena;2012;[zł]";"maj;wizyta u lekarza specjalisty;cena;2012;[zł]";"maj;mydło toaletowe - za 100g;cena;2012;[zł]";"czerwiec;chleb pszenno-żytni - za 0,5kg;cena;2012;[zł]";"czerwiec;cytryny - za 1 kg;cena;2012;[zł]";"czerwiec;cebula - za 1 kg;cena;2012;[zł]";"czerwiec;ziemniaki - za 1 kg;cena;2012;[zł]";"czerwiec;papierosy - za 20szt.;cena;2012;[zł]";"czerwiec;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2012;[zł]";"czerwiec;węgiel kamienny - za 1t;cena;2012;[zł]";"czerwiec;wizyta u lekarza specjalisty;cena;2012;[zł]";"czerwiec;mydło toaletowe - za 100g;cena;2012;[zł]";"lipiec;chleb pszenno-żytni - za 0,5kg;cena;2012;[zł]";"lipiec;cytryny - za 1 kg;cena;2012;[zł]";"lipiec;cebula - za 1 kg;cena;2012;[zł]";"lipiec;ziemniaki - za 1 kg;cena;2012;[zł]";"lipiec;papierosy - za 20szt.;cena;2012;[zł]";"lipiec;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2012;[zł]";"lipiec;węgiel kamienny - za 1t;cena;2012;[zł]";"lipiec;wizyta u lekarza specjalisty;cena;2012;[zł]";"lipiec;mydło toaletowe - za 100g;cena;2012;[zł]";"sierpień;chleb pszenno-żytni - za 0,5kg;cena;2012;[zł]";"sierpień;cytryny - za 1 kg;cena;2012;[zł]";"sierpień;cebula - za 1 kg;cena;2012;[zł]";"sierpień;ziemniaki - za 1 kg;cena;2012;[zł]";"sierpień;papierosy - za 20szt.;cena;2012;[zł]";"sierpień;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2012;[zł]";"sierpień;węgiel kamienny - za 1t;cena;2012;[zł]";"sierpień;wizyta u lekarza specjalisty;cena;2012;[zł]";"sierpień;mydło toaletowe - za 100g;cena;2012;[zł]";"wrzesień;chleb pszenno-żytni - za 0,5kg;cena;2012;[zł]";"wrzesień;cytryny - za 1 kg;cena;2012;[zł]";"wrzesień;cebula - za 1 kg;cena;2012;[zł]";"wrzesień;ziemniaki - za 1 kg;cena;2012;[zł]";"wrzesień;papierosy - za 20szt.;cena;2012;[zł]";"wrzesień;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2012;[zł]";"wrzesień;węgiel kamienny - za 1t;cena;2012;[zł]";"wrzesień;wizyta u lekarza specjalisty;cena;2012;[zł]";"wrzesień;mydło toaletowe - za 100g;cena;2012;[zł]";"październik;chleb pszenno-żytni - za 0,5kg;cena;2012;[zł]";"październik;cytryny - za 1 kg;cena;2012;[zł]";"październik;cebula - za 1 kg;cena;2012;[zł]";"październik;ziemniaki - za 1 kg;cena;2012;[zł]";"październik;papierosy - za 20szt.;cena;2012;[zł]";"październik;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2012;[zł]";"październik;węgiel kamienny - za 1t;cena;2012;[zł]";"październik;wizyta u lekarza specjalisty;cena;2012;[zł]";"październik;mydło toaletowe - za 100g;cena;2012;[zł]";"listopad;chleb pszenno-żytni - za 0,5kg;cena;2012;[zł]";"listopad;cytryny - za 1 kg;cena;2012;[zł]";"listopad;cebula - za 1 kg;cena;2012;[zł]";"listopad;ziemniaki - za 1 kg;cena;2012;[zł]";"listopad;papierosy - za 20szt.;cena;2012;[zł]";"listopad;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2012;[zł]";"listopad;węgiel kamienny - za 1t;cena;2012;[zł]";"listopad;wizyta u lekarza specjalisty;cena;2012;[zł]";"listopad;mydło toaletowe - za 100g;cena;2012;[zł]";"grudzień;chleb pszenno-żytni - za 0,5kg;cena;2012;[zł]";"grudzień;cytryny - za 1 kg;cena;2012;[zł]";"grudzień;cebula - za 1 kg;cena;2012;[zł]";"grudzień;ziemniaki - za 1 kg;cena;2012;[zł]";"grudzień;papierosy - za 20szt.;cena;2012;[zł]";"grudzień;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2012;[zł]";"grudzień;węgiel kamienny - za 1t;cena;2012;[zł]";"grudzień;wizyta u lekarza specjalisty;cena;2012;[zł]";"grudzień;mydło toaletowe - za 100g;cena;2012;[zł]";
0000000;"POLSKA";2,25;4,91;1,38;0,74;10,67;165,72;820,58;75,55;2,00;2,25;4,78;1,38;0,77;11,04;165,63;822,02;76,95;1,97;2,25;4,73;1,36;0,78;11,21;166,54;818,89;77,42;1,99;2,26;4,92;1,34;0,77;11,28;168,67;814,32;77,52;2,01;2,26;5,64;1,34;0,76;11,34;168,28;810,52;77,84;1,97;2,26;6,71;1,87;0,79;11,35;167,33;810,86;78,10;2,00;2,26;7,36;2,39;0,96;11,37;167,00;812,69;78,20;2,00;2,26;7,32;1,99;0,75;11,38;166,17;815,17;78,53;2,00;2,25;7,27;1,63;0,72;11,39;168,55;820,77;79,13;2,00;2,25;6,69;1,44;0,73;11,39;171,15;823,69;79,40;2,01;2,25;6,18;1,45;0,77;11,40;172,46;824,61;79,71;2,03;2,25;5,94;1,48;0,91;11,40;171,78;823,77;79,90;1,99;
0200000;"DOLNOŚLĄSKIE";2,51;5,21;1,46;0,72;10,78;178,47;838,22;81,76;2,00;2,54;5,17;1,40;0,75;11,08;178,47;842,38;82,94;1,98;2,56;5,10;1,38;0,76;11,18;176,12;836,60;82,94;1,97;2,56;5,25;1,40;0,73;11,22;186,62;831,30;82,94;1,97;2,52;5,96;1,49;0,73;11,22;182,12;828,58;82,94;1,93;2,52;7,27;2,03;0,82;11,24;182,12;828,44;82,94;1,93;2,52;7,95;2,69;0,92;11,24;182,12;829,29;82,94;1,93;2,52;7,92;2,17;0,79;11,22;176,29;834,20;82,94;1,93;2,46;7,64;1,70;0,74;11,22;175,88;839,07;85,88;1,94;2,42;7,48;1,57;0,73;11,22;176,93;836,67;86,47;1,94;2,42;6,94;1,64;0,81;11,24;176,93;834,99;86,47;1,95;2,44;6,53;1,71;0,96;11,24;175,88;834,11;86,47;1,97;
0400000;"KUJAWSKO-POMORSKIE";2,05;4,51;1,48;0,66;11,12;174,61;849,25;73,85;1,99;2,05;4,52;1,53;0,70;11,36;174,61;843,54;73,85;1,88;2,05;4,60;1,52;0,72;11,48;175,84;834,31;75,68;1,98;2,07;4,73;1,52;0,68;11,48;177,77;830,27;76,92;1,98;2,07;5,53;1,56;0,68;11,48;177,77;824,12;76,92;1,90;2,07;6,63;2,25;0,71;11,48;177,00;816,89;76,92;1,94;2,08;7,22;2,73;0,88;11,48;177,00;817,65;76,92;1,97;2,09;7,27;2,20;0,69;11,48;173,15;815,74;76,92;1,97;2,09;7,24;1,76;0,68;11,48;174,25;822,43;77,69;1,96;2,07;6,51;1,50;0,68;11,48;178,07;828,04;77,69;1,97;2,05;5,92;1,55;0,71;11,48;180,69;828,50;77,69;1,98;2,05;5,57;1,62;0,85;11,48;180,69;831,58;77,69;1,95;
0600000;"LUBELSKIE";2,21;4,08;1,40;0,89;10,59;174,53;848,48;67,69;2,23;2,24;4,21;1,38;0,87;11,01;179,15;848,81;67,69;2,23;2,24;4,12;1,42;0,90;11,08;181,82;850,73;68,46;2,21;2,24;4,46;1,23;0,91;11,16;182,59;844,77;69,23;2,19;2,25;5,23;1,18;0,88;11,18;183,38;831,62;70,00;2,19;2,24;6,50;1,74;0,87;11,20;183,45;830,50;71,54;2,19;2,22;6,95;2,07;1,14;11,10;183,45;832,67;71,54;2,20;2,22;6,75;1,91;0,86;11,34;183,91;837,07;71,54;2,23;2,17;6,53;1,57;0,81;11,34;183,91;840,35;71,54;2,21;2,18;5,56;1,39;0,78;11,34;184,91;848,04;71,54;2,23;2,17;5,33;1,40;0,80;11,40;184,91;856,22;71,54;2,23;2,17;5,10;1,42;0,87;11,40;181,84;855,47;71,54;2,23;
0800000;"LUBUSKIE";2,16;5,53;1,55;0,80;10,59;179,33;842,90;75,56;2,04;2,16;5,52;1,65;0,84;10,99;179,33;846,79;75,56;1,83;2,10;5,41;1,59;0,85;11,37;170,39;856,95;78,89;1,89;2,10;5,62;1,55;0,82;11,37;182,61;858,62;78,89;1,87;2,13;6,05;1,50;0,81;11,46;182,61;853,62;78,89;1,91;2,13;7,12;1,60;0,87;11,46;182,61;853,62;78,89;1,89;2,13;7,63;2,16;0,99;11,57;182,61;855,28;78,89;1,94;2,13;7,94;2,16;0,76;11,56;178,16;854,73;78,89;1,94;2,13;7,83;1,76;0,70;11,55;186,94;862,50;78,89;1,94;2,13;7,51;1,52;0,72;11,50;202,66;865,89;78,89;1,96;2,13;6,88;1,54;0,73;11,50;202,66;865,34;78,89;1,92;2,13;6,97;1,52;0,88;11,50;202,66;865,34;78,89;1,87;
1000000;"ŁÓDZKIE";2,30;5,50;1,26;0,63;10,83;177,21;844,61;74,29;1,84;2,33;5,35;1,32;0,67;11,32;177,21;845,71;74,64;1,66;2,30;5,24;1,27;0,67;11,32;177,93;841,87;74,64;1,79;2,30;5,37;1,22;0,68;11,35;178,43;838,84;74,64;1,82;2,31;5,89;1,25;0,67;11,43;178,43;832,20;75,36;1,89;2,31;6,72;1,98;0,69;11,43;178,43;842,82;75,36;1,88;2,25;7,67;2,31;0,81;11,43;178,43;842,47;75,36;1,91;2,18;7,58;2,03;0,66;11,43;177,07;844,31;75,36;1,86;2,22;7,57;1,58;0,70;11,50;180,64;845,72;76,07;1,85;2,22;7,16;1,37;0,71;11,50;179,93;847,15;76,07;1,87;2,22;6,93;1,39;0,73;11,50;182,93;847,15;76,07;1,89;2,22;6,47;1,37;0,89;11,50;182,93;845,72;76,07;1,74;
1200000;"MAŁOPOLSKIE";2,41;5,24;1,25;0,71;10,65;169,38;815,28;68,31;1,90;2,45;5,29;1,25;0,73;11,14;170,07;820,00;70,62;1,87;2,45;5,00;1,26;0,71;11,20;172,84;815,58;71,00;1,93;2,50;5,30;1,26;0,69;11,23;173,22;808,85;72,15;1,94;2,44;6,06;1,38;0,70;11,23;175,15;807,25;72,15;1,89;2,41;7,27;2,14;0,77;11,23;175,15;808,85;72,15;1,94;2,41;7,96;2,38;0,77;11,23;172,92;812,50;72,15;1,95;2,41;7,87;1,66;0,67;11,23;174,84;814,84;72,15;1,97;2,41;7,69;1,50;0,65;11,23;175,15;816,09;72,15;2,02;2,41;7,11;1,36;0,70;11,23;180,07;813,98;72,15;2,03;2,41;6,72;1,43;0,78;11,23;182,38;816,16;72,15;2,03;2,41;6,35;1,45;0,95;11,23;182,38;814,24;72,15;2,00;
1400000;"MAZOWIECKIE";2,13;5,14;1,52;0,80;10,67;169,37;846,66;83,96;1,90;2,12;5,05;1,43;0,85;11,01;160,86;846,05;87,08;1,93;2,13;5,02;1,38;0,87;11,21;158,57;849,60;87,08;1,91;2,16;5,24;1,33;0,85;11,43;160,95;840,52;87,08;1,97;2,17;5,95;1,33;0,82;11,47;162,87;838,97;87,08;1,92;2,17;6,79;2,00;0,87;11,47;160,41;835,15;87,29;1,88;2,17;7,38;2,28;1,13;11,47;160,41;836,48;88,13;1,90;2,17;7,33;1,92;0,76;11,49;163,45;837,92;88,13;1,88;2,13;7,45;1,63;0,74;11,49;168,96;851,35;88,13;1,89;2,13;6,88;1,42;0,74;11,49;178,12;861,09;89,38;1,89;2,13;6,27;1,40;0,78;11,51;182,57;864,34;91,04;1,95;2,15;6,12;1,38;0,95;11,51;179,23;864,34;91,04;1,95;
1600000;"OPOLSKIE";2,45;4,90;1,33;0,67;10,81;140,28;787,23;82,14;2,00;2,45;4,64;1,51;0,73;11,28;140,28;780,56;79,29;2,06;2,45;4,68;1,45;0,73;11,47;141,28;775,92;79,29;2,06;2,45;4,84;1,31;0,70;11,59;136,42;760,68;79,29;2,06;2,47;5,31;1,33;0,70;11,59;136,28;753,06;79,29;1,93;2,47;6,17;1,95;0,76;11,59;135,42;754,37;79,29;2,06;2,47;7,06;2,68;0,97;11,59;135,42;762,82;79,29;2,06;2,47;7,02;2,00;0,76;11,59;135,42;764,97;79,29;2,06;2,47;7,07;1,68;0,78;11,59;137,57;778,06;82,14;2,00;2,47;6,42;1,45;0,78;11,59;137,57;785,20;82,14;2,06;2,47;6,02;1,52;0,78;11,59;137,57;789,02;82,14;2,06;2,47;5,91;1,60;1,00;11,59;137,57;787,23;82,14;1,88;
1800000;"PODKARPACKIE";2,13;4,30;0,89;0,63;10,70;166,33;824,80;68,33;1,78;2,13;3,89;0,92;0,66;11,09;167,17;828,13;68,33;1,83;2,08;4,25;0,85;0,68;11,36;171,42;823,54;68,33;1,85;2,13;4,70;0,91;0,67;11,47;171,42;817,09;68,33;1,88;2,13;5,76;0,94;0,66;11,47;171,42;806,67;70,00;1,88;2,13;6,68;1,42;0,73;11,47;171,42;807,92;70,00;1,92;2,08;7,50;2,01;0,82;11,47;171,42;813,96;70,00;1,92;2,10;7,53;1,61;0,64;11,47;171,42;815,63;73,33;1,91;2,06;7,47;1,36;0,62;11,47;172,25;823,13;73,33;1,91;2,10;6,38;1,24;0,64;11,47;172,25;825,21;73,33;1,86;2,10;5,84;1,23;0,70;11,47;174,67;825,63;74,17;1,93;2,11;5,59;1,28;0,89;11,47;174,67;826,05;74,17;1,92;
2000000;"PODLASKIE";2,17;4,36;1,16;0,76;10,70;134,89;742,45;72,00;2,05;2,17;4,21;1,23;0,80;11,13;144,39;744,45;72,00;2,05;2,12;4,00;1,04;0,81;11,11;144,39;740,45;72,00;2,05;2,12;4,34;1,08;0,82;11,11;144,39;736,95;72,00;2,05;2,15;5,37;1,13;0,82;11,23;144,39;736,95;72,00;2,01;2,17;6,60;1,42;0,78;11,23;143,29;742,95;72,00;2,01;2,17;6,71;2,13;0,98;11,23;143,29;747,95;72,00;1,99;2,17;6,79;1,58;0,77;11,23;143,19;741,45;72,00;1,98;2,18;6,59;1,30;0,70;11,23;143,19;750,70;72,00;1,98;2,11;5,64;1,22;0,71;11,34;143,09;755,45;72,00;2,05;2,12;5,08;1,22;0,76;11,34;143,09;755,45;72,00;2,05;2,15;4,88;1,29;0,91;11,34;143,09;755,45;72,00;2,05;
2200000;"POMORSKIE";2,17;4,90;1,62;0,78;10,58;149,02;836,01;76,15;1,97;2,17;4,65;1,69;0,80;10,85;149,02;840,39;76,15;1,99;2,17;4,48;1,76;0,82;11,42;149,79;831,43;76,15;1,96;2,19;4,81;1,83;0,84;11,35;157,33;833,25;76,15;2,06;2,19;5,30;1,58;0,88;11,48;150,95;824,50;76,54;2,03;2,19;6,77;1,82;0,85;11,48;151,56;816,29;76,54;2,03;2,20;7,48;2,56;1,06;11,48;151,56;804,50;76,54;1,94;2,24;7,21;1,98;0,86;11,48;150,02;810,43;76,54;2,01;2,24;7,17;1,56;0,79;11,48;151,92;818,05;77,31;2,01;2,25;6,88;1,33;0,84;11,48;147,31;808,35;77,31;1,94;2,24;6,11;1,37;0,81;11,48;147,31;802,38;77,72;2,04;2,25;5,83;1,42;0,90;11,48;145,92;799,06;78,46;1,98;
2400000;"ŚLĄSKIE";2,54;5,02;1,42;0,70;10,66;165,87;725,81;73,00;2,07;2,44;4,94;1,42;0,74;11,05;167,78;730,06;77,67;1,98;2,45;4,74;1,38;0,76;11,23;172,19;717,14;79,00;2,02;2,49;4,75;1,38;0,72;11,21;172,19;709,35;77,67;2,08;2,49;5,59;1,43;0,74;11,23;173,02;709,00;77,67;2,10;2,52;6,49;1,94;0,74;11,28;165,81;712,86;77,67;2,12;2,53;7,33;2,38;0,86;11,42;165,81;722,07;77,67;2,08;2,53;7,43;2,35;0,73;11,42;163,69;723,94;77,67;2,08;2,55;7,30;1,72;0,73;11,34;161,69;722,75;77,67;2,05;2,69;6,96;1,56;0,76;11,34;166,06;723,83;77,67;2,10;2,69;6,30;1,55;0,81;11,34;166,06;723,34;77,67;2,13;2,68;6,13;1,55;0,93;11,34;166,06;721,91;77,67;2,06;
2600000;"ŚWIĘTOKRZYSKIE";1,79;4,79;1,30;0,77;10,40;158,50;828,62;76,67;2,08;1,78;4,46;1,20;0,80;11,00;158,50;829,45;78,33;2,09;1,78;4,59;1,21;0,77;11,13;162,50;829,45;78,33;1,93;1,81;4,86;1,10;0,80;11,13;164,17;823,62;78,33;2,01;1,83;5,77;1,26;0,81;11,13;164,17;823,62;78,33;2,01;1,83;7,50;1,80;0,86;11,13;164,17;826,95;78,33;2,01;1,81;7,61;2,18;0,93;11,13;164,17;830,28;78,33;2,01;1,81;6,83;1,93;0,82;11,13;164,17;830,28;81,67;2,01;1,81;6,83;1,57;0,71;11,27;171,00;835,28;83,33;1,91;1,83;6,24;1,22;0,77;11,27;171,00;836,12;83,33;1,95;1,83;5,77;1,32;0,82;11,27;171,00;836,12;83,33;1,95;1,84;5,58;1,46;1,05;11,27;171,00;841,12;85,00;1,85;
2800000;"WARMIŃSKO-MAZURSKIE";2,05;5,28;1,18;0,83;10,33;158,88;780,75;77,00;2,11;2,05;5,21;1,20;0,82;10,63;158,88;783,75;82,00;2,15;2,05;5,15;1,23;0,81;10,63;161,88;779,65;82,00;2,22;2,02;5,34;1,27;0,80;10,73;160,98;783,65;80,00;2,22;2,02;5,98;1,25;0,80;11,23;159,48;779,05;80,00;1,89;2,02;7,16;2,08;0,78;11,33;159,48;782,35;80,00;2,20;2,02;8,11;2,54;1,00;11,37;159,48;782,10;80,00;2,20;2,02;7,90;1,94;0,84;11,37;159,48;797,61;80,00;2,10;2,02;7,84;1,55;0,83;11,37;160,18;806,56;81,50;2,10;2,01;7,28;1,41;0,79;11,37;163,18;816,78;82,00;2,11;2,00;6,60;1,41;0,80;11,37;163,18;820,44;82,00;2,10;2,00;6,58;1,46;0,93;11,37;163,18;822,11;84,00;2,06;
3000000;"WIELKOPOLSKIE";2,27;4,51;1,39;0,68;10,66;160,58;827,19;82,63;2,01;2,27;4,25;1,44;0,68;10,95;159,53;825,35;83,68;1,99;2,30;4,28;1,40;0,71;11,17;162,60;823,77;83,68;2,02;2,30;4,36;1,37;0,72;11,36;161,63;818,06;84,74;2,02;2,29;5,00;1,36;0,70;11,46;161,10;821,83;84,74;2,00;2,29;5,89;1,50;0,69;11,44;161,10;819,24;86,32;2,05;2,30;6,51;2,41;0,89;11,43;159,00;821,70;86,32;1,99;2,30;6,54;1,99;0,66;11,43;159,00;824,57;86,32;2,00;2,28;6,60;1,73;0,63;11,42;163,16;827,32;86,32;2,05;2,30;5,77;1,52;0,66;11,44;160,63;827,32;86,32;2,04;2,26;5,40;1,51;0,69;11,44;161,84;829,63;86,32;2,05;2,23;5,33;1,51;0,82;11,48;159,74;829,50;86,32;2,03;
3200000;"ZACHODNIOPOMORSKIE";2,39;5,08;1,52;0,83;10,42;168,60;851,46;66,31;2,12;2,38;4,79;1,38;0,87;10,76;168,60;856,83;68,62;2,12;2,39;4,89;1,43;0,85;10,75;169,99;857,02;69,38;2,09;2,39;4,74;1,40;0,86;10,84;169,99;858,56;69,38;2,11;2,39;5,56;1,28;0,85;10,90;170,76;857,98;70,92;2,09;2,39;6,43;2,04;0,89;10,92;170,84;857,98;70,92;2,13;2,39;6,95;2,62;1,17;11,14;170,84;856,44;70,92;2,13;2,49;7,12;2,30;0,84;11,12;169,68;858,17;71,69;2,19;2,49;7,29;1,94;0,78;11,13;175,84;860,67;71,69;2,20;2,39;6,89;1,66;0,75;11,13;180,15;863,36;72,46;2,20;2,39;6,45;1,55;0,79;11,13;180,84;866,44;73,23;2,21;2,39;6,01;1,58;0,95;11,13;183,07;857,21;73,23;2,16;
